id,name,nick_name,race,race_desc,skill_1,skill_2,skill_3,skill_4,hero_hp,hero_mp,hero_strength,hero_agile,hero_intelligence,hero_attacktime,hero_speed,hero_attackfront,hero_attackback,hero_skillfront,hero_skillback,hero_scope,hero_attack,hero_armor,hero_unarmor,hero_magic,hero_magicresist,hero_hprestored,hero_mprestored,hero_crit,hero_uncrit,hero_critunmber,hero_evade,hero_unevade,hero_parry,hero_unparry,hero_parrynumber,hero_xixue,atk_power,hurt_power,kill_power,hero_energe
int,string,string,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
索引,名字,昵称,种族,种族描述,技能1,技能2,技能3,技能4,生命值,魔法值,力量,敏捷,智力,攻击间隔,移动速度,攻击点,攻击后摇,施法点,施法后摇,射程,攻击力,基础护甲,无视护甲,魔法强度,魔法抗性,生命恢复速度,魔法恢复速度,爆击数值,抗爆击数值,爆击伤害系数,闪避数值,抗闪避数值,格档数值,抗格档数值,格档成功减免系数,英雄吸血,普攻增加的能量值,每损失1%的血增加的能量值,击杀单位增加的能量值,能量回复速度
10001,Uther,乌瑟尔,1,人族,20011,20012,20013,20014,135,0,14,10,10,100,300,60,56,30,51,100,8,30,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10002,Garithos,加理瑟斯,1,人族,20015,20016,20017,20018,162,0,14,14,6,100,294,60,56,30,51,100,8,35,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10003,Kael,卡尔,1,人族,20019,20020,20021,20022,194,0,14,14,12,100,300,60,56,30,51,200,10,42,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10004,Jaina,吉安娜,1,人族,20023,20024,20025,20026,126,0,16,13,12,100,294,60,56,30,51,100,8,17,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10005,Proudmoore,普洛德摩尔,1,人族,20027,20028,20029,20030,122,0,14,8,10,100,294,60,56,30,51,100,8,26,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10006,Muradin,穆拉丁,1,人族,20031,20032,20033,20034,130,0,15,9,12,100,300,60,56,30,51,100,8,29,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10007,Sylvanus,西尔瓦娜斯,1,人族,20035,20036,20037,20038,112,0,15,13,9,100,300,60,56,30,51,100,8,19,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10008,Arthas,阿尔塞斯,1,人族,20039,20040,20041,20042,135,0,15,10,10,100,300,60,56,30,51,0,8,30,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10009,Medivh,麦迪文,1,人族,20043,20044,20045,20046,135,0,13,10,11,100,300,60,56,30,51,0,8,49,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10010,KelThuzadLich,克尔苏加德,2,不死族,20047,20048,20049,20050,122,0,15,12,10,100,318,60,56,30,51,100,8,48,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10011,Tichondrius,提克迪奥斯,2,不死族,20051,20052,20053,20054,135,0,12,6,15,100,300,60,56,30,51,0,8,6,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10012,Marimathras,法理玛瑟斯,2,不死族,20055,20056,20057,20058,135,0,14,12,8,100,300,60,56,30,51,0,8,34,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10013,EvilSylvanus,西尔瓦娜斯,2,不死族,20059,20060,20061,20062,135,0,17,7,8,100,300,60,56,30,51,0,8,5,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10014,EvilArthas,阿尔塞斯,2,不死族,20063,20064,20065,20066,135,0,14,12,12,100,300,60,56,30,51,0,8,33,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10015,Cairne,卡林-血蹄,3,兽族,20067,20068,20069,20070,140,0,10,15,9,100,306,60,56,30,51,100,0,19,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10016,DrekThar,德雷克萨尔,3,兽族,20071,20072,20073,20074,168,0,18,12,11,100,300,60,56,30,51,200,0,22,0,0,6,5,0,1,1,2,0,0,0,0,10,0,155,125,50,0
10017,Grom,格罗姆,3,兽族,20075,20076,20077,20078,140,0,15,10,9,2000,300,60,56,30,51,200,0,19,0,0,4,5,0,1,1,2,0,0,0,0,10,0,155,125,50,0
10018,Rokhan,洛克汗,3,兽族,20079,20080,20081,20082,112,0,12,8,7,100,300,60,56,30,51,200,1,16,0,0,2,5,0,1,1,2,0,0,0,0,10,0,135,125,50,0
10019,Thrall,萨尔,3,兽族,20083,20084,20085,20086,135,0,14,10,11,100,300,60,56,30,51,0,8,31,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10020,Illidan,尤迪安,4,暗夜精灵族,20087,20088,20089,20090,135,0,15,11,13,100,300,60,56,30,51,0,8,10,0,3,4,5,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10021,Furion,法里奥,4,暗夜精灵族,20091,20092,20093,20094,108,0,10,17,10,90,300,60,56,30,51,0,20,48,0,3,4,4,0,1,1,2,1,4,0,0,10,0,135,125,50,0
10022,Tyrande,泰兰德,4,暗夜精灵族,20095,20096,20097,20098,100,0,11,16,11,100,294,60,56,30,51,0,20,26,0,3,4,4,0,1,1,2,1,4,0,0,10,0,155,125,50,0
10023,MalFurion,玛尔法里奥,4,暗夜精灵族,20099,20100,20101,20102,100,0,13,13,10,100,300,60,56,30,51,0,20,11,0,3,4,4,0,1,1,2,1,4,0,0,10,0,135,150,50,0
10024,Maiev,玛维,4,暗夜精灵族,20103,20104,20105,20106,100,0,13,13,10,100,300,60,56,30,51,0,20,11,0,3,4,4,0,1,1,2,1,4,0,0,10,0,135,150,50,0
